visitorid,total_events,unique_items_viewed,total_transactions,num_views,num_addtocarts,num_transactions,active_days,active_hours,session_duration_minutes
17,1,1,0,1,0,0,1,1,0.0
52,1,1,0,1,0,0,1,1,0.0
74,4,3,0,4,0,0,1,1,3.8244
137,1,1,0,1,0,0,1,1,0.0
202,1,1,0,1,0,0,1,1,0.0
257,1,1,0,1,0,0,1,1,0.0
283,1,1,0,1,0,0,1,1,0.0
337,1,1,0,1,0,0,1,1,0.0
458,2,1,0,2,0,0,1,1,2.2670166666666662
533,1,1,0,1,0,0,1,1,0.0
581,1,1,0,1,0,0,1,1,0.0
596,2,1,0,2,0,0,1,1,10.254766666666665
765,3,1,0,3,0,0,1,1,10.882116666666667
845,3,1,0,2,1,0,1,1,3.388383333333333
941,1,1,0,1,0,0,1,1,0.0
942,2,1,0,2,0,0,1,1,40.0494
947,1,1,0,1,0,0,1,1,0.0
1289,1,1,0,1,0,0,1,1,0.0
1322,2,2,0,2,0,0,1,1,0.6750166666666666
1485,1,1,0,1,0,0,1,1,0.0
1638,1,1,0,1,0,0,1,1,0.0
1654,4,1,0,3,1,0,1,1,18.063616666666668
1713,2,1,0,2,0,0,1,2,37.33256666666667
1722,4,1,0,4,0,0,2,3,356.9691166666667
1756,3,3,0,3,0,0,1,1,3.938
1782,2,2,0,2,0,0,1,1,0.338
1852,3,1,0,3,0,0,1,1,1.9383333333333332
1948,1,1,0,1,0,0,1,1,0.0
2073,1,1,0,1,0,0,1,1,0.0
2081,1,1,0,1,0,0,1,1,0.0
2160,1,1,0,1,0,0,1,1,0.0
2219,1,1,0,1,0,0,1,1,0.0
2360,1,1,0,1,0,0,1,1,0.0
2366,1,1,0,1,0,0,1,1,0.0
2387,3,3,0,3,0,0,1,2,92.39918333333334
2610,1,1,0,1,0,0,1,1,0.0
2681,2,2,0,2,0,0,1,1,1.1684333333333332
2715,1,1,0,1,0,0,1,1,0.0
2900,1,1,0,1,0,0,1,1,0.0
3023,1,1,0,1,0,0,1,1,0.0
3068,1,1,0,1,0,0,1,1,0.0
3109,2,1,0,2,0,0,1,1,1.6529833333333335
3189,1,1,0,1,0,0,1,1,0.0
3215,1,1,0,1,0,0,1,1,0.0
3403,2,1,0,2,0,0,2,2,1118.3743166666668
3418,1,1,0,1,0,0,1,1,0.0
3473,1,1,0,1,0,0,1,1,0.0
3739,1,1,0,1,0,0,1,1,0.0
3849,1,1,0,1,0,0,1,1,0.0
3877,1,1,0,1,0,0,1,1,0.0
3926,1,1,0,1,0,0,1,1,0.0
3952,2,2,0,2,0,0,1,1,2.2926833333333336
4008,1,1,0,1,0,0,1,1,0.0
4078,1,1,0,1,0,0,1,1,0.0
4458,1,1,0,1,0,0,1,1,0.0
4523,1,1,0,1,0,0,1,1,0.0
4550,2,1,0,2,0,0,1,1,1.833
4652,1,1,0,1,0,0,1,1,0.0
4748,1,1,0,1,0,0,1,1,0.0
4816,1,1,0,1,0,0,1,1,0.0
5018,1,1,0,1,0,0,1,1,0.0
5129,2,2,0,2,0,0,1,1,7.8155833333333335
5182,1,1,0,1,0,0,1,1,0.0
5285,1,1,0,1,0,0,1,1,0.0
5334,1,1,0,1,0,0,1,1,0.0
5516,1,1,0,1,0,0,1,1,0.0
5628,2,1,0,2,0,0,1,1,21.9293
5646,1,1,0,1,0,0,1,1,0.0
5868,2,1,0,2,0,0,1,2,11.416400000000001
5925,2,2,0,2,0,0,1,1,0.2876666666666667
5948,4,2,0,4,0,0,1,1,18.59173333333333
5967,1,1,0,1,0,0,1,1,0.0
6015,2,2,0,2,0,0,1,1,14.230116666666667
6073,1,1,0,1,0,0,1,1,0.0
6195,1,1,0,1,0,0,1,1,0.0
6274,2,1,0,2,0,0,1,1,0.08025
6410,3,1,0,3,0,0,1,2,1070.1865333333333
6457,1,1,0,1,0,0,1,1,0.0
6498,1,1,0,1,0,0,1,1,0.0
6588,3,1,0,3,0,0,1,2,58.2767
6811,2,2,0,2,0,0,2,2,1568.4676499999998
6818,1,1,0,1,0,0,1,1,0.0
6825,1,1,0,1,0,0,1,1,0.0
6895,2,1,0,2,0,0,1,1,0.3294166666666667
6906,1,1,0,1,0,0,1,1,0.0
7023,1,1,0,1,0,0,1,1,0.0
7104,1,1,0,1,0,0,1,1,0.0
7173,2,2,0,2,0,0,1,1,8.327183333333332
7362,1,1,0,1,0,0,1,1,0.0
7533,1,1,0,1,0,0,1,1,0.0
7600,1,1,0,1,0,0,1,1,0.0
7684,3,3,0,3,0,0,1,2,4.159033333333333
7854,1,1,0,1,0,0,1,1,0.0
7969,1,1,0,1,0,0,1,1,0.0
8002,1,1,0,1,0,0,1,1,0.0
8249,1,1,0,1,0,0,1,1,0.0
8287,1,1,0,1,0,0,1,1,0.0
8359,1,1,0,1,0,0,1,1,0.0
8410,2,2,0,2,0,0,1,1,2.2940833333333335
8489,1,1,0,1,0,0,1,1,0.0
8522,1,1,0,1,0,0,1,1,0.0
8660,1,1,0,1,0,0,1,1,0.0
8683,1,1,0,1,0,0,1,1,0.0
8697,8,3,0,8,0,0,1,2,5.593383333333334
8736,5,1,0,5,0,0,1,1,1.40225
8755,1,1,0,1,0,0,1,1,0.0
8797,1,1,0,1,0,0,1,1,0.0
8860,2,2,0,2,0,0,1,1,1.4145333333333334
8914,1,1,0,1,0,0,1,1,0.0
8927,1,1,0,1,0,0,1,1,0.0
8949,1,1,0,1,0,0,1,1,0.0
8998,1,1,0,1,0,0,1,1,0.0
9004,3,1,0,3,0,0,2,2,249.98845
9214,5,3,0,5,0,0,1,2,103.82106666666667
9217,1,1,0,1,0,0,1,1,0.0
9230,1,1,0,1,0,0,1,1,0.0
9240,1,1,0,1,0,0,1,1,0.0
9289,1,1,0,1,0,0,1,1,0.0
9385,4,4,0,4,0,0,1,2,47.15753333333334
9487,1,1,0,1,0,0,1,1,0.0
9520,1,1,0,1,0,0,1,1,0.0
9540,1,1,0,1,0,0,1,1,0.0
9645,1,1,0,1,0,0,1,1,0.0
9672,1,1,0,1,0,0,1,1,0.0
9727,1,1,0,1,0,0,1,1,0.0
9794,1,1,0,1,0,0,1,1,0.0
9820,1,1,0,1,0,0,1,1,0.0
9878,1,1,0,1,0,0,1,1,0.0
9968,1,1,0,1,0,0,1,1,0.0
10068,1,1,0,1,0,0,1,1,0.0
10180,1,1,0,1,0,0,1,1,0.0
10262,7,5,0,7,0,0,1,1,17.8291
10317,1,1,0,1,0,0,1,1,0.0
10347,1,1,0,1,0,0,1,1,0.0
10387,1,1,0,1,0,0,1,1,0.0
10444,1,1,0,1,0,0,1,1,0.0
10481,3,3,0,3,0,0,2,2,556.1547333333333
10583,2,2,0,2,0,0,1,2,167.58215
10697,3,2,0,3,0,0,1,1,0.60795
10728,1,1,0,1,0,0,1,1,0.0
10732,1,1,0,1,0,0,1,1,0.0
10751,1,1,0,1,0,0,1,1,0.0
10766,1,1,0,1,0,0,1,1,0.0
10901,1,1,0,1,0,0,1,1,0.0
10937,1,1,0,1,0,0,1,1,0.0
10946,1,1,0,1,0,0,1,1,0.0
10984,1,1,0,1,0,0,1,1,0.0
11021,1,1,0,1,0,0,1,1,0.0
11102,1,1,0,1,0,0,1,1,0.0
11157,1,1,0,1,0,0,1,1,0.0
11161,1,1,0,1,0,0,1,1,0.0
11174,1,1,0,1,0,0,1,1,0.0
11199,1,1,0,1,0,0,1,1,0.0
11243,1,1,0,1,0,0,1,1,0.0
11302,1,1,0,1,0,0,1,1,0.0
11369,2,1,0,2,0,0,1,1,0.22458333333333333
11475,1,1,0,1,0,0,1,1,0.0
11598,2,1,0,2,0,0,1,1,2.3418666666666668
11754,1,1,0,1,0,0,1,1,0.0
11757,1,1,0,1,0,0,1,1,0.0
11906,1,1,0,1,0,0,1,1,0.0
11916,2,2,0,2,0,0,2,2,45.6849
